Name,CADR (smoke),Price (USD),Noise Rating (db),Size (in),Power (W),Link,In Stock?,Alternative sites,Image Link,
	Levoit Vital 100 True HEPA Air Purifier,130,119.99,50,12.8 x 6.4 x 16.1,55,https://levoit.com/products/vital100-true-hepa-air-purifier,Y,https://www.amazon.com/LEVOIT-Allergies-Eliminators-Vital-100/dp/B07X25BNBR/ref=asc_df_B07X25BNBR/?tag=hyprod-20&linkCode=df0&hvadid=366289987126&hvpos=&hvnetw=g&hvrand=4814275424478713759&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9052397&hvtargid=pla-818727587480&psc=1&tag=&ref=&adgrpid=76644163339&hvpone=&hvptwo=&hvadid=366289987126&hvpos=&hvnetw=g&hvrand=4814275424478713759&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9052397&hvtargid=pla-818727587480 ,https://cdn.shopify.com/s/files/1/0279/4559/9064/products/1.00_OA1_Vital-100_02.png?v=1611109661,
Whirlpool® WPT80 Whispure™ Large Tower Air Purifier,142,167.99,30,8.46 x 6.93 x 23,43,https://www.aromalivingstyles.com/whirlpool-wpt80-whispure-medium-tower-air-purifier-black.html,Y,,https://www.whirlpoolairpurifiers.com/wp-content/uploads/2018/05/WPT80B-9-01.png,Low is 35 db according to https://breathequality.com/whirlpool-wpt80-review/#a5
Oransi OV200 Air Purifier,160,329,54,"13 x 23 x 7
",60,https://oransi.com/products/oransi-ov200-air-purifier?variant=37157370134709,Y,,https://cdn.shopify.com/s/files/1/0488/2877/6600/products/OV200_Clipped_large.png?v=1615351871,
Coway Airmega 150,138,189.99,48.3,13.4 x 6.5 x 18.5,35,https://cowaymega.com/products/coway-airmega-150,Y,,"https://images.accentuate.io/?image=https%3A%2F%2Fcdn.accentuate.io%2F35302008225951%2F1614359587911%2FIMG-Product-02.png%3Fv%3D0&c_options=w_1024,h_1024&dpr_2.0",
BioGS 2.0 Ultra Quiet Air Purifier SPA- 550A,136,369.95,48.6,22.2 x 16.6 x 9.8,29,https://www.rabbitair.com/products/biogs2-air-purifier?variant=774882221,Y,,https://cdn.shopify.com/s/files/1/0260/5699/products/biogs2_front34view_900x.jpg,
BioGS 2.0 Ultra Quiet Air Purifier SPA-625,154,399.95,50.4,22.2 x 16.6 x 9.8,39,https://www.rabbitair.com/products/biogs2-air-purifier,Y,,https://cdn.shopify.com/s/files/1/0260/5699/products/biogs2_front34view_900x.jpg,
Honeywell True HEPA Large Room Air Purifier With Allergen Remover,200,197.99,,17.72 x 10.05 x 18.86,,https://www.honeywellstore.com/store/products/true-hepa-large-room-air-purifier-with-allergen-remover-white-hpa204.htm,Y,,https://www.honeywellstore.com/store/images/products/large_images/hpa204-true-hepa-large-room-air-purifier-with-allergen-remover-white.jpg,
MinusA2 Ultra Quiet Air Purifier SPA-780,180,599.95,51.3,20 x 21.4 x 7,61,https://www.rabbitair.com/products/minusa2-air-purifier?variant=29446108413975,Y,,https://cdn.shopify.com/s/files/1/0260/5699/products/minusa2_white_900x.jpg ,
MinusA2 Ultra Quiet Air Purifier SPA- 700,166,549.95,45.6,20 x 21.4 x 7,47,https://www.rabbitair.com/products/minusa2-air-purifier?variant=29446108020759,Y,,https://cdn.shopify.com/s/files/1/0260/5699/products/minusa2_white_540x.jpg,
Coway Airmega AP-1512HH,233,229.99,53.8,18.3 x 16.8 x 9.6,77,https://cowaymega.com/products/coway-mighty-ap-1512hh,Y,,https://cdn.accentuate.io/33436620718215/1614376029554/Coway_Mighty_Black_3-4_3e6457d3-c361-4fa3-913f-d720b860796d.jpg,
LV-H134 Tower Pro True HEPA Air Purifier,312,299.99,54,12.8 x 12.8 x 29.2,45,https://levoit.com/products/lv-h134-tower-true-hepa-air-purifier,Y,,https://cdn.shopify.com/s/files/1/0279/4559/9064/products/01.00_OA1_LV-H134_03.png?v=1611108627 ,
Honeywell True HEPA Bluetooth Smart Air Purifier With Allergen Remover,300,299.99,,20.08 x 10.83 x 22.32,130,https://www.honeywellstore.com/store/products/honeywell-hepa-bluetooth-smart-air-purifier-hpa8350b.htm,N,https://www.amazon.com/Honeywell-Bluetooth-Allergen-Remover-Purifier/dp/B07G9ZL5LL,https://www.honeywellstore.com/store/images/products/large_images/hpa8350b-honeywell-hepa-bluetooth-smart-air-purifier.jpg,
Whirlpool® WPPRO2000 Whispure™ Air Purifier,328,413.99,49,19.45 x 10.08 x 25.08,115,https://www.aromalivingstyles.com/whirlpoolr-wppro2000-whispuretm-air-purifier-pearl-white.html,Y,,https://www.aromalivingstyles.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/w/p/wppro2000p_1.png,
Alen BreatheSmart 75i True HEPA Air Purifier,347,749,49,27 x 18.5 x 11.5,45,https://alen.com/products/alen-breathesmart-75i-air-purifier,Y,,https://cdn.shopify.com/s/files/1/0580/1421/products/pnrtbutl3lf6oqe210on.jpg,
